                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86289,                0.94644,                 1.2486,                0.83373,                0.68728,                 0.7942,                0.51836,                 1.2196,                 1.6843,                 1.7189,               0.006634,               0.006634,               0.006634
                     36,                0.88912,                0.95507,                 1.2576,                0.82757,                 0.5428,                0.61346,                0.39298,                 1.3827,                 2.0318,                 1.9377,               0.006535,               0.006535,               0.006535
                     37,                0.87141,                0.93468,                 1.2411,                0.87085,                0.70808,                 0.7978,                0.55256,                 1.2321,                 1.3443,                 1.8011,               0.006436,               0.006436,               0.006436
                     38,                0.83657,                0.88355,                 1.2167,                  0.855,                0.74778,                0.86096,                0.56282,                 1.2036,                 1.2201,                 1.7635,               0.006337,               0.006337,               0.006337
                     39,                0.86778,                0.91188,                 1.2403,                0.73464,                0.80033,                0.81704,                0.55776,                 1.1902,                 1.3673,                 1.7295,               0.006238,               0.006238,               0.006238
                     40,                 0.8453,                0.87112,                 1.2248,                0.79688,                0.75368,                0.84944,                0.59105,                 1.1498,                 1.2069,                 1.6712,               0.006139,               0.006139,               0.006139
                     41,                0.86714,                 0.8704,                 1.2566,                0.72646,                0.75995,                 0.8239,                 0.5601,                 1.1997,                  1.292,                 1.6997,                0.00604,                0.00604,                0.00604
                     42,                0.84017,                0.83496,                 1.2269,                0.84708,                0.68273,                0.83103,                0.55856,                 1.2308,                 1.4274,                 1.7522,               0.005941,               0.005941,               0.005941
                     43,                0.83201,                0.83703,                 1.2321,                0.85077,                0.77038,                0.86236,                0.56699,                 1.2429,                 1.2189,                 1.7155,               0.005842,               0.005842,               0.005842
                     44,                0.80943,                0.80469,                 1.1843,                0.87447,                0.70926,                 0.8475,                0.57405,                 1.2528,                 1.2577,                 1.7697,               0.005743,               0.005743,               0.005743
                     45,                0.83097,                0.81862,                 1.2194,                0.81605,                0.78239,                0.87374,                0.58398,                 1.2521,                 1.1719,                 1.7907,               0.005644,               0.005644,               0.005644
                     46,                0.82129,                0.79379,                 1.2071,                0.87334,                0.77353,                0.84013,                0.54471,                    1.3,                 1.2495,                 1.8597,               0.005545,               0.005545,               0.005545
                     47,                0.78896,                0.74847,                 1.1854,                 0.8176,                0.77409,                0.82609,                0.56054,                 1.2331,                 1.2808,                 1.7553,               0.005446,               0.005446,               0.005446
                     48,                0.78944,                 0.7735,                 1.1967,                0.93227,                0.71575,                0.84057,                0.55933,                 1.2226,                 1.2271,                  1.772,               0.005347,               0.005347,               0.005347
                     49,                0.81389,                0.76428,                 1.2153,                0.89314,                0.71079,                0.83338,                0.59448,                 1.1366,                 1.1135,                 1.6039,               0.005248,               0.005248,               0.005248
                     50,                0.80143,                0.74996,                  1.203,                0.90396,                0.76076,                0.88321,                 0.6322,                 1.0538,                 1.0848,                 1.5327,               0.005149,               0.005149,               0.005149
                     51,                0.78355,                 0.7332,                   1.19,                0.88875,                0.82134,                0.89882,                0.61709,                 1.1474,                  1.034,                  1.618,                0.00505,                0.00505,                0.00505
                     52,                 0.8053,                0.76827,                 1.2017,                0.88542,                0.73202,                0.88047,                0.60363,                 1.1702,                 1.1709,                  1.626,               0.004951,               0.004951,               0.004951
                     53,                0.74037,                0.68804,                 1.1556,                0.86197,                 0.7748,                0.85351,                0.59598,                 1.1815,                 1.1401,                 1.7048,               0.004852,               0.004852,               0.004852
                     54,                0.77676,                0.71071,                   1.17,                0.91239,                0.78878,                  0.872,                0.60114,                 1.1473,                 1.0314,                 1.6425,               0.004753,               0.004753,               0.004753
                     55,                0.75512,                0.69341,                 1.1808,                0.94367,                0.76593,                0.85659,                 0.6081,                 1.0947,                  1.045,                 1.5776,               0.004654,               0.004654,               0.004654
                     56,                0.74467,                0.67194,                 1.1538,                0.83367,                0.77487,                0.82615,                 0.5841,                 1.1086,                  1.116,                 1.5942,               0.004555,               0.004555,               0.004555
                     57,                0.75725,                0.68988,                 1.1667,                0.84118,                0.77293,                0.84357,                0.58219,                  1.155,                 1.1438,                 1.6526,               0.004456,               0.004456,               0.004456
                     58,                   0.76,                0.66643,                  1.176,                0.84432,                0.81954,                0.84095,                0.58923,                 1.1272,                 1.1554,                 1.6166,               0.004357,               0.004357,               0.004357
                     59,                0.74736,                 0.6675,                 1.1681,                0.87292,                0.74041,                0.82447,                0.57096,                  1.118,                  1.082,                 1.6189,               0.004258,               0.004258,               0.004258
                     60,                0.73665,                0.65977,                 1.1479,                0.86729,                0.75439,                0.85704,                0.57328,                 1.1848,                 1.0688,                 1.6587,               0.004159,               0.004159,               0.004159
                     61,                0.73607,                0.66382,                 1.1422,                0.77671,                0.82874,                0.84933,                0.56603,                   1.17,                 1.0356,                 1.6522,                0.00406,                0.00406,                0.00406
                     62,                0.72537,                0.65109,                 1.1435,                 0.8303,                0.86296,                0.86515,                0.59647,                 1.1564,                 1.0103,                 1.7023,               0.003961,               0.003961,               0.003961
                     63,                0.73338,                0.62046,                 1.1529,                0.86176,                0.77859,                0.85895,                0.58351,                 1.1247,                0.95338,                 1.6819,               0.003862,               0.003862,               0.003862
                     64,                0.74296,                0.64108,                 1.1508,                0.93535,                0.78606,                0.89015,                0.60191,                 1.1675,                 0.9467,                   1.71,               0.003763,               0.003763,               0.003763
                     65,                0.75093,                0.65619,                 1.1783,                 0.8832,                0.81987,                0.89705,                0.64458,                 1.1094,                0.89069,                 1.6482,               0.003664,               0.003664,               0.003664
                     66,                0.69975,                0.61298,                 1.1285,                0.90492,                0.77737,                0.88237,                0.60706,                 1.1577,                0.88987,                 1.6828,               0.003565,               0.003565,               0.003565
                     67,                0.69402,                0.58771,                 1.1275,                 0.9202,                 0.7582,                 0.8928,                0.57594,                 1.1918,                0.95026,                   1.68,               0.003466,               0.003466,               0.003466
                     68,                0.70587,                0.62125,                 1.1442,                0.88266,                0.81235,                0.90317,                0.61291,                 1.1548,                0.97753,                 1.6259,               0.003367,               0.003367,               0.003367
                     69,                0.69546,                0.59049,                 1.1201,                0.94077,                0.78664,                0.88345,                0.61442,                 1.1868,                0.93401,                 1.7264,               0.003268,               0.003268,               0.003268
                     70,                0.70226,                 0.5857,                  1.139,                0.88635,                0.80981,                0.87628,                0.61907,                   1.07,                0.93799,                 1.5732,               0.003169,               0.003169,               0.003169
                     71,                 0.7118,                0.64652,                  1.153,                0.74574,                0.83603,                0.86427,                0.61996,                 1.1067,                0.91929,                 1.6315,                0.00307,                0.00307,                0.00307
                     72,                0.66276,                0.58207,                 1.1103,                0.80311,                0.81044,                0.88145,                0.61964,                  1.131,                0.85357,                 1.6946,               0.002971,               0.002971,               0.002971
                     73,                0.69971,                0.58865,                 1.1491,                0.84687,                0.82797,                0.90024,                0.61373,                  1.149,                0.89981,                 1.7113,               0.002872,               0.002872,               0.002872
